"var1","var2","cor"
"rdate.4","solp3",1
"ramnt.4","solp3",1
"rdate.5","lifesrc",1
"rdate.13","rdate.5",1
"rdate.15","rdate.5",1
"rdate.17","rdate.5",1
"ramnt.13","rdate.5",1
"ramnt.15","rdate.5",1
"ramnt.24","rdate.5",1
"ramnt.5","rdate.13",1
"ramnt.5","rdate.15",1
"ramnt.5","ramnt.3",1
"ramnt.7","ramnt.5",1
"ramnt.13","ramnt.5",1
"ramnt.15","ramnt.5",1
"ramnt.24","ramnt.5",1
"ramnt.17","ramnt.5",0.999818911657586
"age","dob",0.9997529331728
"rdate.4","rdate.3",0.998729419698729
"ramnt.16","ramnt.5",0.998293343858722
"rdate.15","rdate.6",0.99456802149121
"hhage3","hhage1",0.993996832082472
"hv2","hv1",0.993411608306671
"ethc5","eth2",0.989670476283507
"pop902","pop901",0.988491492552272
"ramnt.5","mbbooks",0.986269297668562
"pop903","pop901",0.981224949918578
"hhd9","hhd7",0.98077845618736
"lfc5","lfc3",0.979980259798297
"afc2","afc1",0.979607630963508
"pop903","pop902",0.977983010544193
"fistdate","odatedw",0.97686622059086
"ramnt.14","ramnt.5",0.976725589918017
"age906","age905",0.976648773537869
"lastgift","ramnt.7",0.976096616407694
"ic3","ic1",0.975308019770946
"dw5","dw4",0.974773723625481
"ic4","ic2",0.973615956994329
"ramnt.8","ramnt.5",0.973011854044891
"dw6","dw5",0.971714617831354
"lfc4","lfc2",0.97160530971969
"rhp2","rhp1",0.971449000057649
"ic4","ic3",0.971394568757205
"ic23","ic14",0.968102504886125
"nextdate","odatedw",0.967056908829651
"nextdate","fistdate",0.966993675381407
"age906","age903",0.966688358666358
"age903","age902",0.966648959675447
"hhp2","hhp1",0.966611144313022
"hhn4","hhn3",0.965965728179582
"rhp3","hhp1",0.965752436966366
"age905","age902",0.964049928933933
"rhp3","hhp2",0.962882865254918
"age905","age903",0.96003343405564
"ramnt.6","ramnt.3",0.95980923319945
"lsc2","eth5",0.958942522776742
"eic1","occ9",0.958144423980392
"ramnt.9","ramnt.5",0.958048785869516
"ic20","ic11",0.957710447139679
"hupa2","dw6",0.956113009186793
"hhp1","hhn3",0.956023341332024
"age904","age901",0.955907540605457
"ic3","ic2",0.955143018655717
"ramnt.19","ramnt.9",0.955017269629227
"ethc4","eth2",0.95319523680153
"hhd1","hhn3",0.9531577000523
"lastgift","ramnt.9",0.953029435942673
"hhp1","hhn4",0.952374961391993
"dw2","dw1",0.951974112526116
"ic2","ic1",0.951252318227744
"afc5","afc4",0.950245592764789
"ic19","ic10",0.949649900210225
"ic21","ic12",0.949088567226558
"numprom","cardprom",0.949051818899041
"hhp2","hhn3",0.948080189466224
"ramnt.19","ramnt.5",0.947763815614197
"hupa6","dw6",0.946954119140648
"ramnt.5","lifesrc",0.944911182523068
"age902","age901",0.943975367741867
"age905","age904",0.942732664411583
"hv4","hv3",0.941277413603521
"hhp2","hhn4",0.941191772179135
"lastgift","ramnt.10",0.940814065622441
"lfc2","lfc1",0.939814906328574
"lfc3","lfc1",0.936823606569594
"hvp2","hvp1",0.935955578320347
"hc18","hc17",0.935512963019837
"hc8","hc7",0.933972231941093
"ic22","ic13",0.933826117641977
"ramnt.19","ramnt.4",0.933620732441184
"hvp1","hv2",0.932600514582989
"hhd1","age907",0.931742515240463
"ethc5","ethc4",0.930239284083677
"ic4","ic1",0.929737378557014
"hhd1","hhn4",0.929527794342933
"age904","age903",0.928724062792063
"ramnt.21","ramnt.15",0.928425594916607
"age904","age902",0.928194704031978
"hupa6","dw5",0.927364801074225
"lastgift","ramnt.8",0.927129928747029
"dw6","dw4",0.927119218625768
"ramnt.6","ramnt.4",0.926847751543724
"hhd3","marr1",0.92593426150875
"hvp1","hv1",0.924447218212432
"rhp2","hur2",0.924273817636921
"age906","age902",0.922730796094173
"age906","age904",0.922191910276927
"hhd5","hhd2",0.922106809570708
"hhas1","hhage1",0.921518733484581
"hhas1","hhage3",0.921168909046026
"lfc5","lfc1",0.921067112185238
"cardprom","odatedw",0.919799306355684
"rp2","rp1",0.919733229815829
"lfc4","lfc1",0.917379495556611
"rhp3","hhn3",0.915850384488576
"cardgift","ngiftall",0.914586069377313
"hvp4","hvp3",0.914422586083727
"rhp1","hur2",0.914362154340406
"marr3","agec7",0.91370321246389
"hhd4","hhd1",0.91332271807937
"tpe4","tpe3",0.911778410267194
"fistdate","cardprom",0.91115996217629
"hvp2","hv2",0.911004759899243
"hhn6","hhn5",0.9108843229812
"eth13","eth5",0.909271873541046
"hhd11","hhn1",0.90918195930766
"hhd4","hhn3",0.908945226552245
"rp1","hv4",0.908495349614436
"ramnt.4","ramnt.3",0.907750414689899
"hhd3","hhd2",0.907692842777417
"hu2","hu1",0.90721034831238
"hvp6","hv1",0.906694762177169
"hhage1","agec6",0.905411868323271
"hhd1","hhp1",0.905383964996191
"hupa2","dw5",0.905180635636116
"lastgift","ramnt.3",0.902804405457611
"hvp6","hv2",0.902442121787145
"ramnt.7","ramnt.4",0.901208874575718
"nextdate","cardprom",0.900898132622022
"rhp3","hhn4",0.899944450107121
"hhage3","agec6",0.899802705769923
"hvp3","hvp2",0.899380078127213
"age905","age901",0.899298151639795
"rp3","rp2",0.898849460857126
"ethc3","hhage3",0.897660901020151
"age903","age901",0.896953059236868
"ramnt.15","ramnt.6",0.895874476529045
"lastgift","ramnt.6",0.895751456579303
"hhd1","hhp2",0.895661829969476
"ic15","ic6",0.895445345170054
"hvp2","hv1",0.895114893645685
"ramnt.5","dw2",0.893969479661011
"ramnt.5","afc3",0.893694770197657
"ramnt.5","anc12",0.893694770197657
"hupa6","hupa2",0.891037710990196
"ramnt.11","ramnt.4",0.890793386474126
"lastgift","ramnt.12",0.890668053165842
"hupa6","dw4",0.889351061313402
"hhd4","hhn4",0.889186375324106
"ethc3","hhage1",0.888914255983211
"ethc3","age904",0.88854360085991
"rp1","hv3",0.88798448751979
"avggift","ramnt.5",0.887817017568667
"marr3","hhage2",0.887433215025584
"hhn5","hhn4",0.88699581210174
"avggift","ramnt.15",0.885855376941828
"rp2","hv4",0.885616251918428
"rp4","rp3",0.885588305629079
"hc5","hc4",0.884206790008395
"rdate.18","rdate.5",0.883429445372101
"ic18","ic9",0.883419068272958
"ic5","ic4",0.882081761094842
"ic16","ic7",0.88166891008796
"ramnt.5","chilc1",0.880865152980891
"ethc3","agec6",0.880242067488467
"ramnt.21","ramnt.3",0.880192172160842
"hc7","hc6",0.876530809875315
"hc8","hc2",0.876161619887432
"hhd4","hhp1",0.874814544351917
"ic5","ic2",0.87393874479828
"avggift","ramnt.10",0.873831274444732
"hhas4","ic15",0.873560756776078
"ramnt.23","ramnt.19",0.87330899510493
"ramnt.14","ramnt.13",0.8725815592311
"hvp6","hvp1",0.872223627211993
"ramnt.17","ramnt.6",0.871821457546932
"lsc3","eth4",0.870756949916296
"rhp3","hhd1",0.869850345519695
"maxramnt","ramnt.7",0.869552744668763
"wealth2","wealth1",0.869430948731071
"numprom","odatedw",0.869340411481169
"maxramnt","ramnt.8",0.868964161167668
"fistdate","numprom",0.868130548004004
"avggift","ramnt.9",0.867513979408487
"hc21","hc20",0.866811022423477
"ethc3","age901",0.866006785562348
"ramnt.23","ramnt.22",0.864854575784095
"ramnt.23","ramnt.10",0.864676667840605
"avggift","ramnt.16",0.864558280441786
"avggift","ramnt.19",0.863882698553847
"hhd2","hhp2",0.863813575319819
"avggift","ramnt.23",0.862161995838185
"hhage2","agec7",0.861802061849396
"chilc1","chil1",0.861791710965925
"avggift","ramnt.21",0.860484391661466
"ramnt.22","ramnt.5",0.859600087918317
"ramnt.17","ramnt.16",0.858267683600644
"hhage3","hhage2",0.85744954682429
"hupa5","hupa1",0.856985944890249
"ramnt.5","chil1",0.8566947871735
"oedc2","stategov",0.856319917277704
"ramnt.24","ramnt.23",0.855582919137054
"hupa2","dw4",0.855565700153426
"hhn3","age907",0.854691837375023
"sec4","age907",0.853772706869474
"hhas1","agec6",0.853758397811685
"lsc2","eth13",0.852576065837198
"avggift","ramnt.7",0.852441624026829
"hhage1","age904",0.85235233185015
"ic17","ic8",0.850899171254434
"hvp5","hvp4",0.85058958979144
"ramnt.10","ramnt.4",0.850573379092159
"ramnt.23","ramnt.15",0.850066483312865
"hu2","dw4",0.849291736655352
"lastgift","ramnt.15",0.848799080931324
"hhage1","age903",0.848423344793712
"hhage3","age904",0.848310950559669
"age906","age901",0.847837823312507
"ramnt.11","ramnt.3",0.847704251782924
"avggift","ramnt.13",0.846929726525649
"nextdate","numprom",0.84656498400538
"hhn4","age907",0.845663602712798
"avggift","ramnt.18",0.845533696483732
"ramnt.15","ramnt.14",0.845334715740081
"rp2","hv3",0.844087661560225
"hhd2","hhp1",0.843848523044701
"ramnt.23","ramnt.11",0.843740533348173
"hhp2","hhn5",0.843348590970993
"ramnt.13","ramnt.4",0.842617760996017
"voc2","hhd3",0.842564369695734
"oedc3","fedgov",0.842004667936477
"ramnt.5","adate.7",0.841727570214667
"hhd4","hhp2",0.841535891333213
"ramnt.23","ramnt.7",0.841396221919868
"ramnt.13","ramnt.7",0.841204998200601
"hhage3","agec7",0.84022508846013
"ramnt.17","ramnt.15",0.840216878703659
"ramnt.13","ramnt.12",0.840072043428461
"ic5","ic3",0.839304432404487
"avggift","ramnt.8",0.839128181452367
"ramnt.16","ramnt.8",0.838876115493397
"hhage3","age903",0.838757509645736
"avggift","ramnt.14",0.838661183534171
"avggift","ramnt.12",0.83814304604594
"ramnt.23","ramnt.16",0.837715535942258
"ramnt.5","magfaml",0.836492011776202
"ramnt.5","magfem",0.836492011776202
"chilc3","chil2",0.836308897055402
"ic23","ic5",0.836212838723451
"rhp3","hhd2",0.836108823023812
"ramnt.10","ramnt.6",0.836071373672076
"hvp3","hv2",0.836047181634813
"hhage2","hhage1",0.834607832380484
"ramnt.23","ramnt.17",0.834137766260504
"hhd6","hhn1",0.833930253233381
"lastgift","ramnt.5",0.833836802663815
"ramnt.16","ramnt.3",0.833037551984798
"ramnt.11","ramnt.10",0.832749067790991
"rhp3","hhd4",0.832596932158064
"ramnt.23","ramnt.13",0.832580959924749
"hc8","hc6",0.832261462857387
"hhas4","ic6",0.832045439025906
"hhp1","hhn5",0.831229794701683
"ramnt.23","ramnt.14",0.831091314520787
"ramnt.24","ramnt.3",0.831041227045912
"hhp2","age907",0.830436817401952
"ramnt.5","eth6",0.830088357745603
"ramnt.5","eth10",0.830088357745603
"ramnt.5","eth11",0.830088357745603
"ramnt.5","anc11",0.830088357745603
"ethc6","eth2",0.829928168460756
"ic14","ic5",0.829456995619029
